Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0004,
Horizontal Delay,0.0002508,
Sample Interval,4e-07,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.6860e-03,3.68063,0.148859
-1.6856e-03,3.685,0.150781
-1.6852e-03,3.65344,0.147234
-1.6848e-03,3.66906,0.148891
-1.6844e-03,3.64594,0.147859
-1.6840e-03,3.65156,0.147141
-1.6836e-03,3.61969,0.146859
-1.6832e-03,3.62594,0.146203
-1.6828e-03,3.62719,0.145531
-1.6824e-03,3.61656,0.146234
-1.6820e-03,3.60813,0.144844
-1.6816e-03,3.59563,0.146406
-1.6812e-03,3.59125,0.145625
-1.6808e-03,3.55531,0.144453
-1.6804e-03,3.57375,0.144922
-1.6800e-03,3.54531,0.144859
-1.6796e-03,3.56094,0.143422
-1.6792e-03,3.54219,0.143703
-1.6788e-03,3.54312,0.141766
-1.6784e-03,3.52594,0.143406
-1.6780e-03,3.50406,0.142172
-1.6776e-03,3.52469,0.142484
-1.6772e-03,3.49031,0.141047
-1.6768e-03,3.49938,0.140203
-1.6764e-03,3.50375,0.139906
-1.6760e-03,3.45469,0.142484
-1.6756e-03,3.47188,0.140906
-1.6752e-03,3.45312,0.141078
-1.6748e-03,3.43531,0.139
-1.6744e-03,3.43781,0.139187
-1.6740e-03,3.44813,0.139375
-1.6736e-03,3.415,0.138531
-1.6732e-03,3.41312,0.137281
-1.6728e-03,3.39031,0.137437
-1.6724e-03,3.42,0.138344
-1.6720e-03,3.40063,0.138516
-1.6716e-03,3.38531,0.137578
-1.6712e-03,3.365,0.136687
-1.6708e-03,3.36531,0.138031
-1.6704e-03,3.37156,0.137484
-1.6700e-03,3.34844,0.135781
-1.6696e-03,3.33188,0.136031
-1.6692e-03,3.32812,0.134359
-1.6688e-03,3.3275,0.133938
-1.6684e-03,3.33,0.135734
-1.6680e-03,3.31094,0.132297
-1.6676e-03,3.29531,0.134531
-1.6672e-03,3.30313,0.131719
-1.6668e-03,3.29312,0.131422
-1.6664e-03,3.27813,0.133906
-1.6660e-03,3.29031,0.132219
-1.6656e-03,3.25687,0.13125
-1.6652e-03,3.26594,0.131812
-1.6648e-03,3.24094,0.129562
-1.6644e-03,3.26594,0.131641
-1.6640e-03,3.24313,0.131891
-1.6636e-03,3.23875,0.130266
-1.6632e-03,3.2175,0.130031
-1.6628e-03,3.225,0.130844
-1.6624e-03,3.205,0.129469
-1.6620e-03,3.18719,0.130016
-1.6616e-03,3.19188,0.128266
-1.6612e-03,3.14688,0.126531
-1.6608e-03,3.175,0.129094
-1.6604e-03,3.14594,0.127422
-1.6600e-03,3.13687,0.127469
-1.6596e-03,3.12906,0.127281
-1.6592e-03,3.14844,0.125859
-1.6588e-03,3.13844,0.127656
-1.6584e-03,3.09625,0.127656
-1.6580e-03,3.08281,0.1255
-1.6576e-03,3.0925,0.1245
-1.6572e-03,3.08906,0.125219
-1.6568e-03,3.06937,0.125031
-1.6564e-03,3.05969,0.126094
-1.6560e-03,3.07688,0.123016
-1.6556e-03,3.03844,0.124328
-1.6552e-03,3.04312,0.123656
-1.6548e-03,3.04563,0.123813
-1.6544e-03,3.02062,0.124438
-1.6540e-03,3.04594,0.124688
-1.6536e-03,3.02188,0.123109
-1.6532e-03,3.02188,0.123734
-1.6528e-03,3.02813,0.121094
-1.6524e-03,3.00031,0.122719
-1.6520e-03,2.98656,0.121297
-1.6516e-03,2.98719,0.121563
-1.6512e-03,2.97219,0.1205
-1.6508e-03,2.97031,0.118656
-1.6504e-03,2.96719,0.119563
-1.6500e-03,2.96594,0.119359
-1.6496e-03,2.92219,0.119266
-1.6492e-03,2.95688,0.117844
-1.6488e-03,2.94344,0.118125
-1.6484e-03,2.92281,0.117844
-1.6480e-03,2.93656,0.117734
-1.6476e-03,2.9125,0.117203
-1.6472e-03,2.91188,0.117688
-1.6468e-03,2.87875,0.118266
-1.6464e-03,2.88125,0.115969
-1.6460e-03,2.90187,0.115984
-1.6456e-03,2.88187,0.116609
-1.6452e-03,2.85938,0.116203
-1.6448e-03,2.82656,0.115531
-1.6444e-03,2.87125,0.114234
-1.6440e-03,2.83531,0.115
-1.6436e-03,2.82812,0.115562
-1.6432e-03,2.81531,0.114203
-1.6428e-03,2.81156,0.114531
-1.6424e-03,2.82281,0.114172
-1.6420e-03,2.79906,0.114281
-1.6416e-03,2.76969,0.112547
-1.6412e-03,2.75844,0.112531
-1.6408e-03,2.77312,0.112984
-1.6404e-03,2.71969,0.114047
-1.6400e-03,2.76969,0.112891
-1.6396e-03,2.7525,0.111031
-1.6392e-03,2.73438,0.110266
-1.6388e-03,2.73125,0.112516
-1.6384e-03,2.72594,0.111344
-1.6380e-03,2.7025,0.111281
-1.6376e-03,2.69281,0.111984
-1.6372e-03,2.68156,0.111078
-1.6368e-03,2.67531,0.109406
-1.6364e-03,2.67,0.109391
-1.6360e-03,2.66469,0.109281
-1.6356e-03,2.64188,0.109031
-1.6352e-03,2.665,0.109641
-1.6348e-03,2.64938,0.108719
-1.6344e-03,2.62938,0.106672
-1.6340e-03,2.64281,0.107219
-1.6336e-03,2.60594,0.107391
-1.6332e-03,2.58969,0.105688
-1.6328e-03,2.60281,0.105234
-1.6324e-03,2.59688,0.105563
-1.6320e-03,2.60969,0.107406
-1.6316e-03,2.58781,0.106734
-1.6312e-03,2.565,0.106219
-1.6308e-03,2.56875,0.104422
-1.6304e-03,2.56875,0.104953
-1.6300e-03,2.55812,0.102969
-1.6296e-03,2.55844,0.104375
-1.6292e-03,2.53906,0.102531
-1.6288e-03,2.51594,0.102125
-1.6284e-03,2.53469,0.101766
-1.6280e-03,2.50906,0.101578
-1.6276e-03,2.50156,0.102766
-1.6272e-03,2.51156,0.102547
-1.6268e-03,2.48469,0.102406
-1.6264e-03,2.48125,0.100922
-1.6260e-03,2.45969,0.100484
-1.6256e-03,2.48344,0.100297
-1.6252e-03,2.46344,0.0985469
-1.6248e-03,2.45781,0.0987344
-1.6244e-03,2.44344,0.0991406
-1.6240e-03,2.44563,0.0987969
-1.6236e-03,2.45656,0.098125
-1.6232e-03,2.4375,0.0976562
-1.6228e-03,2.40969,0.0973125
-1.6224e-03,2.43219,0.0992813
-1.6220e-03,2.39438,0.0974219
-1.6216e-03,2.39031,0.099125
-1.6212e-03,2.39281,0.097625
-1.6208e-03,2.37094,0.0962188
-1.6204e-03,2.39562,0.0973594
-1.6200e-03,2.36281,0.0959531
-1.6196e-03,2.36219,0.0955469
-1.6192e-03,2.36813,0.0972031
-1.6188e-03,2.33,0.0925312
-1.6184e-03,2.34187,0.0956094
-1.6180e-03,2.31813,0.0972812
-1.6176e-03,2.32594,0.0945938
-1.6172e-03,2.31125,0.0943906
-1.6168e-03,2.31688,0.093875
-1.6164e-03,2.275,0.0913906
-1.6160e-03,2.29375,0.0935312
-1.6156e-03,2.25094,0.0923594
-1.6152e-03,2.26031,0.0908125
-1.6148e-03,2.2625,0.0929688
-1.6144e-03,2.24313,0.0913438
-1.6140e-03,2.24906,0.0907813
-1.6136e-03,2.23188,0.0914531
-1.6132e-03,2.24313,0.0902656
-1.6128e-03,2.20281,0.0900469
-1.6124e-03,2.19656,0.089375
-1.6120e-03,2.19844,0.0872031
-1.6116e-03,2.18156,0.088125
-1.6112e-03,2.15938,0.0869219
-1.6108e-03,2.17844,0.0876563
-1.6104e-03,2.16188,0.0865781
-1.6100e-03,2.17188,0.0869687
-1.6096e-03,2.15563,0.0861563
-1.6092e-03,2.11969,0.0855937
-1.6088e-03,2.13187,0.0857031
-1.6084e-03,2.12781,0.0868281
-1.6080e-03,2.12594,0.08575
-1.6076e-03,2.12781,0.0849063
-1.6072e-03,2.125,0.0843437
-1.6068e-03,2.09813,0.0836875
-1.6064e-03,2.08937,0.0855313
-1.6060e-03,2.085,0.0827656
-1.6056e-03,2.07344,0.0842969
-1.6052e-03,2.08,0.0823594
-1.6048e-03,2.05938,0.0828281
-1.6044e-03,2.04406,0.0834688
-1.6040e-03,2.04594,0.0837656
-1.6036e-03,2.03563,0.0813125
-1.6032e-03,2.03063,0.0824688
-1.6028e-03,2.00625,0.0807188
-1.6024e-03,1.99813,0.0808281
-1.6020e-03,2.01469,0.0812031
-1.6016e-03,1.98406,0.0809219
-1.6012e-03,1.9725,0.0771094
-1.6008e-03,1.99,0.0798438
-1.6004e-03,1.97844,0.0792969
-1.6000e-03,1.98687,0.0791875
-1.5996e-03,1.93625,0.0799688
-1.5992e-03,1.95781,0.0786719
-1.5988e-03,1.95875,0.0785156
-1.5984e-03,1.94156,0.0765625
-1.5980e-03,1.93688,0.0772812
-1.5976e-03,1.895,0.077375
-1.5972e-03,1.90625,0.0775156
-1.5968e-03,1.89219,0.076625
-1.5964e-03,1.8825,0.0782188
-1.5960e-03,1.88,0.0755781
-1.5956e-03,1.8625,0.0764375
-1.5952e-03,1.84156,0.0743438
-1.5948e-03,1.85313,0.0740313
-1.5944e-03,1.86656,0.0735937
-1.5940e-03,1.84906,0.0722813
-1.5936e-03,1.83594,0.0723594
-1.5932e-03,1.80281,0.0721875
-1.5928e-03,1.81094,0.0714063
-1.5924e-03,1.80094,0.07225
-1.5920e-03,1.78844,0.072875
-1.5916e-03,1.77906,0.0718281
-1.5912e-03,1.7775,0.0705469
-1.5908e-03,1.77094,0.0702344
-1.5904e-03,1.75906,0.0700313
-1.5900e-03,1.74844,0.0698906
-1.5896e-03,1.72687,0.0689531
-1.5892e-03,1.72969,0.0672656
-1.5888e-03,1.73156,0.0684531
-1.5884e-03,1.7275,0.0683281
-1.5880e-03,1.7325,0.0669375
-1.5876e-03,1.71969,0.0693906
-1.5872e-03,1.71031,0.0665938
-1.5868e-03,1.67719,0.0653438
-1.5864e-03,1.69094,0.0676094
-1.5860e-03,1.66437,0.0679063
-1.5856e-03,1.64594,0.0673906
-1.5852e-03,1.66437,0.0674219
-1.5848e-03,1.66063,0.0641562
-1.5844e-03,1.66969,0.0651406
-1.5840e-03,1.64031,0.0647188
-1.5836e-03,1.625,0.0640156
-1.5832e-03,1.625,0.062375
-1.5828e-03,1.59813,0.064625
-1.5824e-03,1.5975,0.0637188
-1.5820e-03,1.61406,0.0645938
-1.5816e-03,1.57656,0.0638906
-1.5812e-03,1.60938,0.0657812
-1.5808e-03,1.5675,0.0630625
-1.5804e-03,1.56219,0.0619688
-1.5800e-03,1.56438,0.06075
-1.5796e-03,1.53219,0.0626719
-1.5792e-03,1.55438,0.0601563
-1.5788e-03,1.52438,0.0615156
-1.5784e-03,1.49687,0.0594688
-1.5780e-03,1.50562,0.0614219
-1.5776e-03,1.49719,0.0605
-1.5772e-03,1.48938,0.0608906
-1.5768e-03,1.47437,0.0586094
-1.5764e-03,1.48812,0.0582344
-1.5760e-03,1.48344,0.0572344
-1.5756e-03,1.47406,0.0604531
-1.5752e-03,1.44219,0.0574531
-1.5748e-03,1.44094,0.0566562
-1.5744e-03,1.43719,0.0557813
-1.5740e-03,1.425,0.0573906
-1.5736e-03,1.41875,0.057125
-1.5732e-03,1.41844,0.0544844
-1.5728e-03,1.40688,0.0555469
-1.5724e-03,1.38688,0.0541406
-1.5720e-03,1.39062,0.0539375
-1.5716e-03,1.3875,0.0548438
-1.5712e-03,1.355,0.0536563
-1.5708e-03,1.36719,0.0559063
-1.5704e-03,1.365,0.0546094
-1.5700e-03,1.31594,0.0524688
-1.5696e-03,1.34594,0.0537969
-1.5692e-03,1.31563,0.0529219
-1.5688e-03,1.32188,0.053875
-1.5684e-03,1.31406,0.0506719
-1.5680e-03,1.28719,0.0499375
-1.5676e-03,1.31469,0.0510938
-1.5672e-03,1.29969,0.0515469
-1.5668e-03,1.28438,0.0506875
-1.5664e-03,1.2825,0.0504219
-1.5660e-03,1.2625,0.05
-1.5656e-03,1.255,0.0492969
-1.5652e-03,1.22875,0.0502656
-1.5648e-03,1.25406,0.04775
-1.5644e-03,1.27125,0.0489375
-1.5640e-03,1.23031,0.0492031
-1.5636e-03,1.21094,0.046875
-1.5632e-03,1.23438,0.0480625
-1.5628e-03,1.20687,0.04625
-1.5624e-03,1.205,0.047375
-1.5620e-03,1.21594,0.0485937
-1.5616e-03,1.15906,0.0453906
-1.5612e-03,1.17844,0.0463594
-1.5608e-03,1.16312,0.0473594
-1.5604e-03,1.17219,0.0457344
-1.5600e-03,1.17562,0.0459531
-1.5596e-03,1.16688,0.0436719
-1.5592e-03,1.15063,0.0434375
-1.5588e-03,1.16312,0.0453438
-1.5584e-03,1.11875,0.0449219
-1.5580e-03,1.11,0.043
-1.5576e-03,1.11406,0.0435
-1.5572e-03,1.11187,0.0430156
-1.5568e-03,1.12344,0.0401406
-1.5564e-03,1.10938,0.04275
-1.5560e-03,1.08594,0.0393125
-1.5556e-03,1.07594,0.0414687
-1.5552e-03,1.06,0.0400937
-1.5548e-03,1.07313,0.0407187
-1.5544e-03,1.04875,0.0406875
-1.5540e-03,1.02375,0.0399063
-1.5536e-03,1.01469,0.0396719
-1.5532e-03,1.02625,0.0371875
-1.5528e-03,0.993125,0.038875
-1.5524e-03,1.04125,0.0384219
-1.5520e-03,0.989375,0.038875
-1.5516e-03,0.981563,0.0372813
-1.5512e-03,0.982187,0.0374375
-1.5508e-03,0.981563,0.0365313
-1.5504e-03,0.971875,0.038375
-1.5500e-03,0.959688,0.0364844
-1.5496e-03,0.9375,0.0375313
-1.5492e-03,0.9125,0.0360625
-1.5488e-03,0.913438,0.0341719
-1.5484e-03,0.93,0.0356875
-1.5480e-03,0.911563,0.0347969
-1.5476e-03,0.913125,0.0334219
-1.5472e-03,0.881563,0.0329062
-1.5468e-03,0.876875,0.0362969
-1.5464e-03,0.857812,0.0351094
-1.5460e-03,0.878125,0.0342187
-1.5456e-03,0.874688,0.0328906
-1.5452e-03,0.853438,0.0332187
-1.5448e-03,0.840938,0.0329687
-1.5444e-03,0.825625,0.0340625
-1.5440e-03,0.813125,0.0325156
-1.5436e-03,0.815312,0.031625
-1.5432e-03,0.814688,0.031375
-1.5428e-03,0.810937,0.0321094
-1.5424e-03,0.787188,0.032125
-1.5420e-03,0.79375,0.0289531
-1.5416e-03,0.76625,0.0300156
-1.5412e-03,0.76875,0.03025
-1.5408e-03,0.775313,0.0298906
-1.5404e-03,0.772813,0.0287188
-1.5400e-03,0.775625,0.0309375
-1.5396e-03,0.74625,0.0293125
-1.5392e-03,0.731875,0.0289063
-1.5388e-03,0.730938,0.0280156
-1.5384e-03,0.742812,0.0287813
