Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0004,
Horizontal Delay,0.00024,
Sample Interval,4e-07,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.7600e-03,4.91625,0.119719
-1.7596e-03,4.93406,0.120828
-1.7592e-03,4.94875,0.122969
-1.7588e-03,4.95,0.120219
-1.7584e-03,4.92656,0.121328
-1.7580e-03,4.97313,0.121531
-1.7576e-03,4.94375,0.120719
-1.7572e-03,4.995,0.123234
-1.7568e-03,4.975,0.121
-1.7564e-03,5.00063,0.120953
-1.7560e-03,4.99812,0.123234
-1.7556e-03,5.00406,0.122219
-1.7552e-03,5.02,0.122703
-1.7548e-03,5.01031,0.123734
-1.7544e-03,5.02625,0.121234
-1.7540e-03,5.01844,0.123203
-1.7536e-03,5.01656,0.122609
-1.7532e-03,4.99188,0.122234
-1.7528e-03,4.99875,0.120563
-1.7524e-03,4.97281,0.122984
-1.7520e-03,4.985,0.120547
-1.7516e-03,4.98625,0.123359
-1.7512e-03,4.95563,0.119703
-1.7508e-03,4.96531,0.121469
-1.7504e-03,4.9075,0.122219
-1.7500e-03,4.93969,0.122328
-1.7496e-03,4.91844,0.119453
-1.7492e-03,4.91656,0.121141
-1.7488e-03,4.895,0.118156
-1.7484e-03,4.91125,0.121016
-1.7480e-03,4.89438,0.120469
-1.7476e-03,4.90406,0.120406
-1.7472e-03,4.87188,0.120531
-1.7468e-03,4.87844,0.1185
-1.7464e-03,4.85031,0.117234
-1.7460e-03,4.86969,0.121359
-1.7456e-03,4.86125,0.119125
-1.7452e-03,4.84781,0.119609
-1.7448e-03,4.83844,0.119063
-1.7444e-03,4.81844,0.117578
-1.7440e-03,4.81062,0.116891
-1.7436e-03,4.80187,0.11925
-1.7432e-03,4.78656,0.118516
-1.7428e-03,4.79406,0.117234
-1.7424e-03,4.8,0.118234
-1.7420e-03,4.76375,0.116469
-1.7416e-03,4.74281,0.118859
-1.7412e-03,4.76656,0.117313
-1.7408e-03,4.72375,0.116187
-1.7404e-03,4.74937,0.116359
-1.7400e-03,4.74719,0.116656
-1.7396e-03,4.72531,0.115297
-1.7392e-03,4.71375,0.115609
-1.7388e-03,4.72063,0.115094
-1.7384e-03,4.71875,0.115469
-1.7380e-03,4.685,0.114766
-1.7376e-03,4.66844,0.113531
-1.7372e-03,4.70188,0.113672
-1.7368e-03,4.6725,0.114531
-1.7364e-03,4.67844,0.113891
-1.7360e-03,4.67125,0.114625
-1.7356e-03,4.64688,0.116594
-1.7352e-03,4.64062,0.113016
-1.7348e-03,4.63781,0.113516
-1.7344e-03,4.63813,0.11325
-1.7340e-03,4.60938,0.113766
-1.7336e-03,4.59719,0.113875
-1.7332e-03,4.61375,0.113703
-1.7328e-03,4.59156,0.111844
-1.7324e-03,4.60844,0.114609
-1.7320e-03,4.57719,0.115094
-1.7316e-03,4.57656,0.111859
-1.7312e-03,4.59063,0.113141
-1.7308e-03,4.55875,0.111125
-1.7304e-03,4.56438,0.111625
