Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,0.00024,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH2
2.20000e-04,0.258125,0.00532813
2.20004e-04,0.230938,0.00282812
2.20008e-04,0.248438,0.00384375
2.20012e-04,0.269375,0.005
2.20016e-04,0.285938,0.00359375
2.20020e-04,0.308125,0.00479687
2.20024e-04,0.319063,0.00459375
2.20028e-04,0.300625,0.00404688
2.20032e-04,0.327188,0.004375
2.20036e-04,0.308438,0.00540625
2.20040e-04,0.323125,0.00407813
2.20044e-04,0.34125,0.00603125
2.20048e-04,0.337813,0.004875
2.20052e-04,0.36125,0.00546875
2.20056e-04,0.379063,0.00879688
2.20060e-04,0.37,0.00664062
2.20064e-04,0.384063,0.00660937
2.20068e-04,0.382812,0.00828125
2.20072e-04,0.385937,0.00535938
2.20076e-04,0.4175,0.00726563
2.20080e-04,0.4075,0.00757812
2.20084e-04,0.4025,0.00729688
2.20088e-04,0.406562,0.0079375
2.20092e-04,0.416563,0.00790625
2.20096e-04,0.445937,0.00671875
2.20100e-04,0.45,0.0091875
2.20104e-04,0.419063,0.00771875
2.20108e-04,0.455,0.00940625
2.20112e-04,0.463438,0.00982813
2.20116e-04,0.479063,0.00714063
2.20120e-04,0.485938,0.009375
2.20124e-04,0.498125,0.00921875
2.20128e-04,0.495,0.00784375
2.20132e-04,0.480625,0.0110781
2.20136e-04,0.4975,0.0105781
2.20140e-04,0.532813,0.0101875
2.20144e-04,0.52875,0.0132969
2.20148e-04,0.535,0.00992188
2.20152e-04,0.5525,0.00971875
2.20156e-04,0.516563,0.0131562
2.20160e-04,0.564375,0.0103438
2.20164e-04,0.574688,0.0120938
2.20168e-04,0.573125,0.0136094
2.20172e-04,0.575937,0.00998438
2.20176e-04,0.590938,0.0119063
2.20180e-04,0.590625,0.0123594
2.20184e-04,0.610625,0.01125
2.20188e-04,0.61125,0.0140469
2.20192e-04,0.6075,0.0126406
2.20196e-04,0.615625,0.013125
2.20200e-04,0.647813,0.0156563
2.20204e-04,0.640313,0.0133437
2.20208e-04,0.65,0.0140938
2.20212e-04,0.673125,0.0134687
2.20216e-04,0.675,0.0142344
2.20220e-04,0.682813,0.0138125
2.20224e-04,0.673438,0.0121875
2.20228e-04,0.673438,0.015125
2.20232e-04,0.699688,0.015375
2.20236e-04,0.69875,0.0147813
2.20240e-04,0.68125,0.0153437
2.20244e-04,0.718125,0.0155156
2.20248e-04,0.715313,0.0143438
2.20252e-04,0.731563,0.0173594
2.20256e-04,0.745313,0.0154531
2.20260e-04,0.755625,0.0158438
2.20264e-04,0.75125,0.0175625
2.20268e-04,0.748125,0.0155
2.20272e-04,0.775313,0.0179688
2.20276e-04,0.783125,0.0161719
2.20280e-04,0.796875,0.017625
2.20284e-04,0.806875,0.0179375
2.20288e-04,0.790938,0.0170469
2.20292e-04,0.814688,0.0164688
2.20296e-04,0.804375,0.0173906
