Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,0.0002508,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH2
2.30800e-04,1.84813,0.0514688
2.30804e-04,1.82469,0.05375
2.30808e-04,1.87531,0.0501719
2.30812e-04,1.88469,0.052
2.30816e-04,1.86125,0.0546094
2.30820e-04,1.88375,0.0534063
2.30824e-04,1.89875,0.0539531
2.30828e-04,1.87469,0.053125
2.30832e-04,1.90063,0.05275
2.30836e-04,1.92219,0.0537344
2.30840e-04,1.905,0.0555
2.30844e-04,1.93938,0.0553125
2.30848e-04,1.9425,0.0557969
2.30852e-04,1.9525,0.054125
2.30856e-04,1.95281,0.0564219
2.30860e-04,1.94437,0.0576094
2.30864e-04,1.95031,0.0552344
2.30868e-04,1.98969,0.0575625
2.30872e-04,1.99313,0.05675
2.30876e-04,1.98344,0.0563594
2.30880e-04,2.005,0.0591406
2.30884e-04,2.00438,0.0569219
2.30888e-04,2.03313,0.0580312
2.30892e-04,2.00937,0.0603594
2.30896e-04,2.02438,0.0576094
2.30900e-04,2.04813,0.0589531
2.30904e-04,2.01406,0.0614688
2.30908e-04,2.07094,0.0588125
2.30912e-04,2.06375,0.0613594
2.30916e-04,2.07531,0.0612813
2.30920e-04,2.07938,0.0616406
2.30924e-04,2.06813,0.0613125
2.30928e-04,2.09406,0.0638594
2.30932e-04,2.12031,0.0609688
2.30936e-04,2.11344,0.0628594
2.30940e-04,2.1025,0.063875
2.30944e-04,2.12344,0.0642188
2.30948e-04,2.14375,0.0641875
2.30952e-04,2.12688,0.0633906
2.30956e-04,2.14906,0.0664219
2.30960e-04,2.1475,0.0642031
2.30964e-04,2.16125,0.06425
2.30968e-04,2.15469,0.0672969
2.30972e-04,2.17281,0.0630312
2.30976e-04,2.16406,0.066625
2.30980e-04,2.20688,0.0681406
2.30984e-04,2.19469,0.0660156
2.30988e-04,2.2075,0.0669219
2.30992e-04,2.21156,0.0679063
2.30996e-04,2.21719,0.0669375
2.31000e-04,2.21781,0.0685469
2.31004e-04,2.23313,0.0668438
2.31008e-04,2.24562,0.067125
2.31012e-04,2.24219,0.070375
2.31016e-04,2.23844,0.0699844
2.31020e-04,2.26812,0.0700625
2.31024e-04,2.28875,0.0696719
2.31028e-04,2.28531,0.0690156
2.31032e-04,2.32781,0.06975
2.31036e-04,2.31469,0.0706875
2.31040e-04,2.32688,0.0706719
2.31044e-04,2.315,0.0710625
2.31048e-04,2.33813,0.0715313
2.31052e-04,2.34563,0.0718125
2.31056e-04,2.35062,0.0716094
2.31060e-04,2.35125,0.0734063
2.31064e-04,2.37844,0.0740937
2.31068e-04,2.36125,0.0733906
2.31072e-04,2.38344,0.0715469
2.31076e-04,2.38375,0.0752813
2.31080e-04,2.39344,0.0744531
2.31084e-04,2.39406,0.0732969
2.31088e-04,2.38875,0.0747656
2.31092e-04,2.43281,0.0731875
2.31096e-04,2.42344,0.07525
