Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0004,
Horizontal Delay,0.0002508,
Sample Interval,4e-07,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.7492e-03,4.95437,0.202094
-1.7488e-03,4.95844,0.20125
-1.7484e-03,4.92938,0.201766
-1.7480e-03,4.92531,0.202437
-1.7476e-03,4.94,0.20025
-1.7472e-03,4.91625,0.199766
-1.7468e-03,4.90781,0.200437
-1.7464e-03,4.91812,0.201063
-1.7460e-03,4.89594,0.1985
-1.7456e-03,4.90437,0.198078
-1.7452e-03,4.87031,0.196672
-1.7448e-03,4.84875,0.199063
-1.7444e-03,4.85187,0.1965
-1.7440e-03,4.81719,0.197063
-1.7436e-03,4.85313,0.194688
-1.7432e-03,4.84187,0.195078
-1.7428e-03,4.82125,0.195453
-1.7424e-03,4.8325,0.196484
-1.7420e-03,4.81313,0.198172
-1.7416e-03,4.82062,0.195422
-1.7412e-03,4.77844,0.194531
-1.7408e-03,4.80406,0.194297
-1.7404e-03,4.77313,0.195109
-1.7400e-03,4.78437,0.194188
-1.7396e-03,4.75219,0.193562
-1.7392e-03,4.74906,0.191719
-1.7388e-03,4.75594,0.193484
-1.7384e-03,4.72438,0.193844
-1.7380e-03,4.715,0.19175
-1.7376e-03,4.73438,0.194109
-1.7372e-03,4.70625,0.192172
-1.7368e-03,4.69313,0.191641
-1.7364e-03,4.69031,0.193297
-1.7360e-03,4.695,0.190672
-1.7356e-03,4.6775,0.189609
-1.7352e-03,4.6475,0.190062
-1.7348e-03,4.67219,0.188469
-1.7344e-03,4.6575,0.190219
-1.7340e-03,4.64187,0.189266
-1.7336e-03,4.64406,0.187125
-1.7332e-03,4.64344,0.188891
-1.7328e-03,4.65188,0.189219
-1.7324e-03,4.62125,0.189359
-1.7320e-03,4.59687,0.190578
-1.7316e-03,4.62312,0.187344
-1.7312e-03,4.58563,0.186797
-1.7308e-03,4.59187,0.188344
-1.7304e-03,4.57844,0.187719
-1.7300e-03,4.57937,0.185594
-1.7296e-03,4.59687,0.187875
-1.7292e-03,4.56313,0.185141
-1.7288e-03,4.56688,0.185484
-1.7284e-03,4.55844,0.186406
-1.7280e-03,4.55844,0.184719
-1.7276e-03,4.52406,0.183391
-1.7272e-03,4.5225,0.183734
-1.7268e-03,4.51219,0.184469
-1.7264e-03,4.50375,0.184828
-1.7260e-03,4.50125,0.184344
-1.7256e-03,4.49969,0.181984
-1.7252e-03,4.51625,0.182453
-1.7248e-03,4.475,0.183281
-1.7244e-03,4.44781,0.182484
-1.7240e-03,4.45406,0.182
-1.7236e-03,4.45656,0.180766
-1.7232e-03,4.43063,0.180219
-1.7228e-03,4.42063,0.181438
-1.7224e-03,4.42531,0.181781
-1.7220e-03,4.42781,0.181516
-1.7216e-03,4.41688,0.181813
-1.7212e-03,4.40156,0.177359
-1.7208e-03,4.39781,0.179547
-1.7204e-03,4.39906,0.181391
-1.7200e-03,4.38312,0.178766
