Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0004,
Horizontal Delay,0.00024,
Sample Interval,4e-07,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.7600e-03,4.9375,0.122266
-1.7596e-03,4.93875,0.120938
-1.7592e-03,4.94281,0.119891
-1.7588e-03,4.94094,0.122578
-1.7584e-03,4.95531,0.123438
-1.7580e-03,4.95063,0.122641
-1.7576e-03,4.97406,0.123891
-1.7572e-03,4.98594,0.121344
-1.7568e-03,4.96781,0.123188
-1.7564e-03,4.99625,0.123594
-1.7560e-03,4.97469,0.122313
-1.7556e-03,5.01031,0.125141
-1.7552e-03,5.01,0.125094
-1.7548e-03,4.98469,0.124156
-1.7544e-03,5.01438,0.125453
-1.7540e-03,5.00375,0.123266
-1.7536e-03,4.98594,0.122828
-1.7532e-03,4.98313,0.125031
-1.7528e-03,4.97594,0.1225
-1.7524e-03,4.98781,0.123953
-1.7520e-03,4.93813,0.12525
-1.7516e-03,4.96469,0.121156
-1.7512e-03,4.96312,0.123313
-1.7508e-03,4.94656,0.124
-1.7504e-03,4.93375,0.121063
-1.7500e-03,4.93406,0.123078
-1.7496e-03,4.925,0.123547
-1.7492e-03,4.9125,0.122
-1.7488e-03,4.91437,0.122328
-1.7484e-03,4.87812,0.122641
-1.7480e-03,4.91437,0.119938
-1.7476e-03,4.90844,0.122203
-1.7472e-03,4.86594,0.119953
-1.7468e-03,4.85875,0.122406
-1.7464e-03,4.84938,0.119688
-1.7460e-03,4.87156,0.120188
-1.7456e-03,4.85094,0.121188
-1.7452e-03,4.84687,0.120172
-1.7448e-03,4.82937,0.121313
-1.7444e-03,4.80469,0.1215
-1.7440e-03,4.83938,0.119563
-1.7436e-03,4.80781,0.118844
-1.7432e-03,4.78906,0.118422
-1.7428e-03,4.80031,0.119563
-1.7424e-03,4.79219,0.119672
-1.7420e-03,4.78812,0.120563
-1.7416e-03,4.75563,0.117953
-1.7412e-03,4.75281,0.118688
-1.7408e-03,4.77313,0.117828
-1.7404e-03,4.74125,0.1185
-1.7400e-03,4.74188,0.115797
-1.7396e-03,4.73438,0.116797
-1.7392e-03,4.74281,0.117734
-1.7388e-03,4.71781,0.117547
-1.7384e-03,4.69813,0.116687
-1.7380e-03,4.71094,0.118344
-1.7376e-03,4.69781,0.115531
-1.7372e-03,4.68625,0.118031
-1.7368e-03,4.66188,0.117688
-1.7364e-03,4.66437,0.113531
-1.7360e-03,4.66812,0.11625
-1.7356e-03,4.66219,0.114906
-1.7352e-03,4.64375,0.114656
-1.7348e-03,4.64125,0.116719
-1.7344e-03,4.61906,0.116359
-1.7340e-03,4.63438,0.113406
-1.7336e-03,4.60594,0.115484
-1.7332e-03,4.62406,0.113141
-1.7328e-03,4.58781,0.116672
-1.7324e-03,4.59281,0.11325
-1.7320e-03,4.56562,0.112875
-1.7316e-03,4.57469,0.111766
-1.7312e-03,4.56094,0.114781
-1.7308e-03,4.575,0.113047
