Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,0.0002508,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH2
2.30800e-04,4.97781,0.0557969
2.30804e-04,4.95375,0.05775
2.30808e-04,4.97125,0.0571094
2.30812e-04,4.97281,0.0592813
2.30816e-04,5.01,0.0594375
2.30820e-04,4.94844,0.0608438
2.30824e-04,4.96375,0.0623906
2.30828e-04,4.9775,0.0630625
2.30832e-04,4.9825,0.0614844
2.30836e-04,4.97156,0.0646562
2.30840e-04,4.98031,0.065625
2.30844e-04,4.97031,0.0665625
2.30848e-04,4.975,0.0670313
2.30852e-04,4.97094,0.0684375
2.30856e-04,4.98594,0.0677813
2.30860e-04,4.97656,0.06925
2.30864e-04,4.97594,0.07025
2.30868e-04,4.96906,0.0707969
2.30872e-04,4.95688,0.07175
2.30876e-04,4.97687,0.0731875
2.30880e-04,4.98656,0.0736875
2.30884e-04,4.96344,0.0756094
2.30888e-04,4.96563,0.0761094
2.30892e-04,5.00406,0.0772656
2.30896e-04,4.9675,0.0775469
2.30900e-04,4.94125,0.0781406
2.30904e-04,4.97781,0.07925
2.30908e-04,4.955,0.0807344
2.30912e-04,4.94969,0.0821875
2.30916e-04,4.97844,0.0827969
2.30920e-04,4.96563,0.0816562
2.30924e-04,4.97063,0.0834531
2.30928e-04,4.95875,0.0845625
2.30932e-04,4.98969,0.0858594
2.30936e-04,4.9675,0.0867969
2.30940e-04,4.96188,0.0852813
2.30944e-04,4.97781,0.0878281
2.30948e-04,4.94969,0.0892344
2.30952e-04,4.97562,0.089875
2.30956e-04,4.96125,0.0894844
2.30960e-04,4.97656,0.0916406
2.30964e-04,4.97906,0.0919844
2.30968e-04,4.98562,0.09325
2.30972e-04,4.96594,0.0938438
2.30976e-04,4.97844,0.093
2.30980e-04,4.96219,0.0954062
2.30984e-04,4.96031,0.0950938
2.30988e-04,4.95906,0.0957656
2.30992e-04,4.96531,0.0955469
2.30996e-04,4.945,0.0971562
2.31000e-04,4.96844,0.0983438
2.31004e-04,4.96938,0.098625
2.31008e-04,4.97781,0.100594
2.31012e-04,4.97687,0.0998125
2.31016e-04,4.96312,0.102188
2.31020e-04,4.94344,0.103234
2.31024e-04,4.97094,0.101187
2.31028e-04,4.96625,0.102391
2.31032e-04,4.94156,0.103672
2.31036e-04,4.97687,0.104078
2.31040e-04,4.9525,0.105563
2.31044e-04,4.97219,0.107047
2.31048e-04,4.945,0.10525
2.31052e-04,4.97813,0.106859
2.31056e-04,4.955,0.108875
2.31060e-04,4.96469,0.109391
2.31064e-04,4.96719,0.108438
2.31068e-04,4.95625,0.109266
2.31072e-04,4.98719,0.110906
2.31076e-04,4.95063,0.109938
2.31080e-04,4.94719,0.1115
2.31084e-04,4.96906,0.112984
2.31088e-04,4.97063,0.114062
2.31092e-04,4.9525,0.113937
2.31096e-04,4.93906,0.114828
2.31100e-04,4.96938,0.114453
