Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,0.0002508,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH2
2.30800e-04,1.84156,0.0160469
2.30804e-04,1.86031,0.0175313
2.30808e-04,1.87125,0.0188125
2.30812e-04,1.87781,0.0170156
2.30816e-04,1.86688,0.0184375
2.30820e-04,1.88187,0.0183906
2.30824e-04,1.88094,0.0187969
2.30828e-04,1.91469,0.0175313
2.30832e-04,1.92625,0.0204844
2.30836e-04,1.93188,0.0190469
2.30840e-04,1.95125,0.02075
2.30844e-04,1.94219,0.0195469
2.30848e-04,1.95344,0.0189844
2.30852e-04,1.92594,0.0211875
2.30856e-04,1.95281,0.0207344
2.30860e-04,1.99531,0.0201563
2.30864e-04,1.9575,0.020875
2.30868e-04,1.99594,0.0218594
2.30872e-04,2.00781,0.0216719
2.30876e-04,1.99281,0.0232812
2.30880e-04,2.02344,0.0228125
2.30884e-04,1.99687,0.0237813
2.30888e-04,2.01281,0.0244844
2.30892e-04,2.0425,0.0241719
2.30896e-04,2.05688,0.0231875
2.30900e-04,2.03125,0.0240938
2.30904e-04,2.06344,0.0243906
2.30908e-04,2.07063,0.0254531
2.30912e-04,2.07187,0.0251875
2.30916e-04,2.07969,0.0270937
2.30920e-04,2.06031,0.0259063
2.30924e-04,2.07688,0.0260469
2.30928e-04,2.10875,0.0296094
2.30932e-04,2.09375,0.0278594
2.30936e-04,2.11063,0.0264844
2.30940e-04,2.13187,0.0292031
2.30944e-04,2.12219,0.0267344
2.30948e-04,2.145,0.0292031
2.30952e-04,2.13281,0.0314531
2.30956e-04,2.16938,0.0281719
2.30960e-04,2.16406,0.02975
2.30964e-04,2.17313,0.0288438
2.30968e-04,2.16063,0.0287969
2.30972e-04,2.16812,0.0309375
2.30976e-04,2.19188,0.0299531
2.30980e-04,2.19437,0.0297031
2.30984e-04,2.20156,0.032375
2.30988e-04,2.21125,0.0313281
2.30992e-04,2.24625,0.0317344
2.30996e-04,2.22125,0.0333125
2.31000e-04,2.2525,0.0319375
2.31004e-04,2.2525,0.0336094
2.31008e-04,2.25313,0.0326719
2.31012e-04,2.27125,0.0325
2.31016e-04,2.27375,0.0334531
2.31020e-04,2.29937,0.0329219
2.31024e-04,2.28969,0.0344687
2.31028e-04,2.27594,0.0360781
2.31032e-04,2.31281,0.0337656
2.31036e-04,2.31125,0.0342656
2.31040e-04,2.32156,0.0355938
2.31044e-04,2.34437,0.0348594
2.31048e-04,2.33281,0.0372813
2.31052e-04,2.35781,0.0391406
2.31056e-04,2.34563,0.0365938
2.31060e-04,2.37813,0.0365313
2.31064e-04,2.3625,0.0374688
2.31068e-04,2.39469,0.038625
2.31072e-04,2.39219,0.0396094
2.31076e-04,2.38813,0.0375156
2.31080e-04,2.39938,0.0389063
2.31084e-04,2.42094,0.0413594
2.31088e-04,2.41656,0.0379063
2.31092e-04,2.40531,0.0411719
