Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,0.00024,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH2
2.20000e-04,0.789062,-0.0892813
2.20004e-04,1.385,-0.0761875
2.20008e-04,1.94031,-0.0603125
2.20012e-04,2.38594,-0.0435156
2.20016e-04,2.82938,-0.0228594
2.20020e-04,3.19156,-0.00673437
2.20024e-04,3.52125,0.0100313
2.20028e-04,3.79531,0.0272969
2.20032e-04,4.00875,0.0401719
2.20036e-04,4.21594,0.0519375
2.20040e-04,4.345,0.0591563
2.20044e-04,4.48344,0.0678594
2.20048e-04,4.58219,0.0760156
2.20052e-04,4.67938,0.0784844
2.20056e-04,4.73031,0.0825313
2.20060e-04,4.76938,0.0889063
2.20064e-04,4.77688,0.0902188
2.20068e-04,4.85,0.0946094
2.20072e-04,4.85125,0.099875
2.20076e-04,4.89438,0.101078
2.20080e-04,4.89438,0.106188
2.20084e-04,4.91063,0.107688
2.20088e-04,4.90875,0.111422
2.20092e-04,4.89906,0.112469
2.20096e-04,4.92219,0.113781
2.20100e-04,4.92406,0.117406
2.20104e-04,4.93938,0.118422
2.20108e-04,4.9225,0.116906
2.20112e-04,4.89938,0.119469
2.20116e-04,4.92844,0.117938
2.20120e-04,4.90594,0.116609
2.20124e-04,4.9075,0.117547
2.20128e-04,4.92031,0.116594
2.20132e-04,4.94219,0.117953
2.20136e-04,4.91938,0.117031
2.20140e-04,4.92188,0.120922
2.20144e-04,4.91812,0.117797
2.20148e-04,4.9325,0.119734
2.20152e-04,4.89406,0.121406
2.20156e-04,4.92813,0.119281
2.20160e-04,4.93313,0.120859
2.20164e-04,4.91375,0.121453
2.20168e-04,4.91469,0.120875
2.20172e-04,4.91406,0.12025
2.20176e-04,4.92063,0.120313
2.20180e-04,4.92625,0.119781
2.20184e-04,4.93,0.120141
2.20188e-04,4.92375,0.12025
2.20192e-04,4.93719,0.118375
2.20196e-04,4.94969,0.120313
2.20200e-04,4.91531,0.121656
2.20204e-04,4.92063,0.120141
2.20208e-04,4.91656,0.118531
2.20212e-04,4.94531,0.120734
2.20216e-04,4.93344,0.121031
2.20220e-04,4.93375,0.119563
2.20224e-04,4.94437,0.121344
2.20228e-04,4.94844,0.120297
2.20232e-04,4.95531,0.120172
2.20236e-04,4.92406,0.122453
2.20240e-04,4.95094,0.120844
2.20244e-04,4.95156,0.120594
2.20248e-04,4.94188,0.122297
2.20252e-04,4.965,0.120828
2.20256e-04,4.93,0.120125
2.20260e-04,4.95,0.122656
2.20264e-04,4.93094,0.121953
2.20268e-04,4.95969,0.120203
2.20272e-04,4.93969,0.122813
2.20276e-04,4.95781,0.122078
2.20280e-04,4.96938,0.120938
2.20284e-04,4.94313,0.122906
2.20288e-04,4.9375,0.120953
2.20292e-04,4.93281,0.119281
2.20296e-04,4.93562,0.122016
2.20300e-04,4.93375,0.121094
2.20304e-04,4.94688,0.119969
